map_file,waypoint_file,nav_type,interval
2025-08-22-13-31-toyonaka_ros2_test,2025-08-22-13-31-toyonaka_ros2_test,loc,1
2025-08-22-13-31-toyonaka_ros2_test,2025-08-22-13-31-toyonaka_ros2_test,loc,30
2025-08-22-13-31-toyonaka_ros2_test,2025-08-22-13-31-toyonaka_ros2_test,loc,1
